,activite,activite_conj,age,age_conj,emploi,emploi_conj,etudes,etudes_conj,handicap,handicap_conj,retraite,retraite_conj,salaire,salaire_conj,sexe,sexe_conj,statut_marital,statut_marital_conj,type_fam,enfant,nb_enf
0,True,False,22,21.0,True,False,False,True,False,False,0.0,0.0,4190.0,0.0,femme,homme,1,1.0,Couples,True,1
1,True,False,23,22.0,True,False,False,False,False,False,0.0,0.0,9749.0,0.0,femme,homme,1,1.0,Couples,True,3
2,True,False,25,23.0,True,False,True,True,False,False,0.0,0.0,13509.0,0.0,femme,homme,1,1.0,Couples,False,0
3,True,False,25,24.0,True,False,True,False,False,False,0.0,0.0,13509.0,0.0,femme,homme,1,1.0,Couples,True,1
4,True,True,25,25.0,True,True,True,False,False,False,0.0,0.0,13509.0,21487.0,femme,homme,1,1.0,Couples,True,2
5,True,True,25,25.0,True,True,True,False,False,False,0.0,0.0,13509.0,31991.0,femme,homme,1,1.0,Couples,True,3
6,True,True,27,26.0,True,True,False,False,False,False,0.0,0.0,16464.0,19563.0,femme,homme,1,1.0,Couples,False,0
7,False,False,28,26.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,1
8,False,True,28,26.0,False,True,False,False,False,True,0.0,0.0,0.0,17479.0,femme,homme,1,1.0,Couples,False,0
9,True,True,27,27.0,True,False,False,False,False,False,0.0,0.0,16464.0,0.0,femme,homme,1,1.0,Couples,False,0
10,True,True,26,27.0,True,False,False,False,False,False,0.0,0.0,15991.0,0.0,femme,homme,1,1.0,Couples,True,2
11,False,True,28,27.0,False,True,False,False,False,False,0.0,0.0,0.0,14667.0,femme,homme,1,1.0,Couples,True,2
12,True,True,23,27.0,True,True,False,False,False,False,0.0,0.0,9749.0,20749.0,femme,homme,1,1.0,Couples,True,2
13,True,True,25,27.0,True,True,True,False,False,False,0.0,0.0,13509.0,18611.0,femme,homme,1,1.0,Couples,True,1
14,True,True,26,27.0,True,True,False,False,False,False,0.0,0.0,15991.0,19728.0,femme,homme,1,1.0,Couples,False,0
15,False,True,28,27.0,False,True,False,False,False,False,0.0,0.0,0.0,26407.0,femme,homme,1,1.0,Couples,True,2
16,False,True,28,27.0,False,True,False,False,False,False,0.0,0.0,0.0,21008.0,femme,homme,1,1.0,Couples,True,1
17,True,True,29,27.0,True,True,False,False,False,False,0.0,0.0,20034.0,23581.0,femme,homme,1,1.0,Couples,False,0
18,False,True,28,27.0,False,True,False,False,False,False,0.0,0.0,0.0,18165.0,femme,homme,1,1.0,Couples,True,1
19,True,False,29,28.0,True,False,False,False,False,False,0.0,0.0,20034.0,0.0,femme,homme,1,1.0,Couples,True,4
20,False,False,28,28.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
21,False,True,28,28.0,False,True,False,False,False,False,0.0,0.0,0.0,20660.0,femme,homme,1,1.0,Couples,True,2
22,True,True,25,28.0,True,True,True,False,False,True,0.0,0.0,13509.0,20481.0,femme,homme,1,1.0,Couples,True,4
23,True,True,27,28.0,True,True,False,False,False,False,0.0,0.0,16464.0,21796.0,femme,homme,1,1.0,Couples,True,1
24,False,True,28,29.0,False,True,False,False,False,False,0.0,0.0,0.0,22226.0,femme,homme,1,1.0,Couples,False,0
25,True,True,30,29.0,True,True,False,False,False,False,0.0,0.0,37990.0,17008.0,femme,homme,1,1.0,Couples,True,1
26,True,False,25,29.0,True,False,True,False,False,False,0.0,0.0,13509.0,0.0,femme,homme,1,1.0,Couples,False,0
27,True,True,29,29.0,True,True,False,False,False,False,0.0,0.0,20034.0,21529.0,femme,homme,1,1.0,Couples,True,1
28,True,True,26,29.0,True,True,False,False,False,False,0.0,0.0,15991.0,8792.0,femme,homme,1,1.0,Couples,False,0
29,True,True,27,29.0,True,False,False,False,False,False,0.0,0.0,16464.0,0.0,femme,homme,1,1.0,Couples,True,3
30,True,True,25,29.0,True,True,True,False,False,False,0.0,0.0,13509.0,15475.0,femme,homme,1,1.0,Couples,False,0
31,True,True,29,29.0,True,True,False,False,False,False,0.0,0.0,20034.0,23950.0,femme,homme,1,1.0,Couples,True,3
32,True,True,30,29.0,True,True,False,False,False,True,0.0,0.0,37990.0,23273.0,femme,homme,1,1.0,Couples,True,1
33,True,True,30,29.0,True,True,False,False,False,False,0.0,0.0,37990.0,11642.0,femme,homme,1,1.0,Couples,False,0
34,True,True,31,29.0,True,True,False,False,False,False,0.0,0.0,20850.0,55527.0,femme,homme,1,1.0,Couples,True,3
35,False,True,28,30.0,False,True,False,False,False,False,0.0,0.0,0.0,30669.0,femme,homme,1,1.0,Couples,False,0
36,True,True,39,30.0,True,True,False,False,False,False,0.0,0.0,20051.0,18699.0,femme,homme,1,1.0,Couples,True,2
37,True,True,32,30.0,True,True,False,False,False,False,0.0,0.0,5946.0,28298.0,femme,homme,1,1.0,Couples,False,0
38,True,True,45,30.0,True,True,False,False,False,False,0.0,0.0,2394.0,24010.0,femme,homme,1,1.0,Couples,True,2
39,True,True,29,30.0,True,True,False,False,False,False,0.0,0.0,20034.0,4007.0,femme,homme,1,1.0,Couples,False,0
40,False,True,33,30.0,False,True,False,False,False,False,0.0,0.0,0.0,14809.0,femme,homme,1,1.0,Couples,True,1
41,True,True,31,30.0,True,True,False,False,False,False,0.0,0.0,20850.0,5627.0,femme,homme,1,1.0,Couples,True,2
42,True,True,34,30.0,True,True,False,False,False,False,0.0,0.0,32146.0,21351.0,femme,homme,1,1.0,Couples,True,2
43,True,False,29,30.0,True,False,False,False,False,True,0.0,0.0,20034.0,0.0,femme,homme,1,1.0,Couples,True,2
44,True,True,23,30.0,True,True,False,False,False,False,0.0,0.0,9749.0,26111.0,femme,homme,1,1.0,Couples,True,1
45,False,True,28,30.0,False,True,False,False,False,False,0.0,0.0,0.0,12033.0,femme,homme,1,1.0,Couples,True,2
46,True,True,27,30.0,True,True,False,False,False,False,0.0,0.0,16464.0,25553.0,femme,homme,1,1.0,Couples,True,2
47,True,False,30,30.0,True,False,False,False,False,True,0.0,0.0,37990.0,0.0,femme,homme,1,1.0,Couples,True,1
48,True,True,25,30.0,True,True,True,False,False,False,0.0,0.0,13509.0,29072.0,femme,homme,1,1.0,Couples,False,0
49,True,True,32,30.0,True,True,False,False,False,False,0.0,0.0,5946.0,40586.0,femme,homme,1,1.0,Couples,True,3
50,True,True,31,31.0,True,True,False,False,False,False,0.0,0.0,20850.0,23240.0,femme,homme,1,1.0,Couples,False,0
51,True,True,34,31.0,True,True,False,False,False,False,0.0,0.0,32146.0,21696.0,femme,homme,1,1.0,Couples,True,2
52,True,True,31,31.0,True,True,False,False,False,False,0.0,0.0,20850.0,14338.0,femme,homme,1,1.0,Couples,True,2
53,True,True,26,31.0,True,True,False,False,False,False,0.0,0.0,15991.0,18534.0,femme,homme,1,1.0,Couples,True,2
54,True,True,31,31.0,True,True,False,False,False,False,0.0,0.0,20850.0,19202.0,femme,homme,1,1.0,Couples,True,1
55,True,True,22,31.0,True,True,False,False,False,False,0.0,0.0,4190.0,23396.0,femme,homme,1,1.0,Couples,True,1
56,True,False,37,31.0,True,False,False,False,False,False,0.0,0.0,22647.0,0.0,femme,homme,1,1.0,Couples,False,0
57,True,True,32,31.0,True,True,False,False,False,False,0.0,0.0,5946.0,21507.0,femme,homme,1,1.0,Couples,True,2
58,True,True,31,31.0,True,True,False,False,False,False,0.0,0.0,20850.0,19067.0,femme,homme,1,1.0,Couples,True,2
59,True,True,35,31.0,True,True,False,False,False,False,0.0,0.0,3709.0,135485.0,femme,homme,1,1.0,Couples,True,3
60,False,False,28,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
61,True,False,22,31.0,True,False,False,False,False,False,0.0,0.0,4190.0,0.0,femme,homme,1,1.0,Couples,False,0
62,False,True,28,31.0,False,True,False,False,False,False,0.0,0.0,0.0,21012.0,femme,homme,1,1.0,Couples,True,1
63,True,True,34,31.0,True,True,False,False,False,False,0.0,0.0,32146.0,36018.0,femme,homme,1,1.0,Couples,True,3
64,True,True,27,31.0,True,True,False,False,False,False,0.0,0.0,16464.0,58288.0,femme,homme,1,1.0,Couples,True,2
65,True,True,26,32.0,True,True,False,False,False,False,0.0,0.0,15991.0,19988.0,femme,homme,1,1.0,Couples,False,0
66,False,True,36,32.0,False,True,False,False,False,False,0.0,0.0,0.0,25660.0,femme,homme,1,1.0,Couples,True,2
67,False,True,33,32.0,False,True,False,False,False,False,0.0,0.0,0.0,20652.0,femme,homme,1,1.0,Couples,False,0
68,True,True,27,32.0,True,True,False,False,False,False,0.0,0.0,16464.0,14986.0,femme,homme,1,1.0,Couples,False,0
69,True,True,32,32.0,True,True,False,False,False,False,0.0,0.0,5946.0,31122.0,femme,homme,1,1.0,Couples,False,0
70,True,True,31,32.0,True,True,False,False,False,False,0.0,0.0,20850.0,21867.0,femme,homme,1,1.0,Couples,True,2
71,False,True,36,32.0,False,True,False,False,False,False,0.0,0.0,0.0,17070.0,femme,homme,1,1.0,Couples,True,2
72,True,True,27,32.0,True,True,False,False,False,False,0.0,0.0,16464.0,25200.0,femme,homme,1,1.0,Couples,True,4
73,False,True,33,32.0,False,True,False,False,False,False,0.0,0.0,0.0,28330.0,femme,homme,1,1.0,Couples,True,4
74,False,True,28,32.0,False,True,False,False,False,False,0.0,0.0,0.0,22081.0,femme,homme,1,1.0,Couples,True,1
75,True,False,32,32.0,True,False,False,False,False,False,0.0,0.0,5946.0,0.0,femme,homme,1,1.0,Couples,True,1
76,True,True,30,32.0,True,True,False,False,False,False,0.0,0.0,37990.0,27436.0,femme,homme,1,1.0,Couples,True,2
77,True,True,32,32.0,True,False,False,False,False,False,0.0,0.0,5946.0,0.0,femme,homme,1,1.0,Couples,False,0
78,False,True,33,32.0,False,True,False,False,False,False,0.0,0.0,0.0,19072.0,femme,homme,1,1.0,Couples,False,0
79,False,True,33,32.0,False,True,False,False,False,False,0.0,0.0,0.0,19948.0,femme,homme,1,1.0,Couples,False,0
