,activite,activite_conj,age,age_conj,emploi,emploi_conj,etudes,etudes_conj,handicap,handicap_conj,retraite,retraite_conj,salaire,salaire_conj,sexe,sexe_conj,statut_marital,statut_marital_conj,type_fam,enfant,nb_enf
0,False,True,22,21.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
1,False,True,22,21.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,False,0
2,False,False,22,22.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
3,False,False,21,22.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,1
4,False,False,20,22.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,1
5,False,True,23,22.0,False,True,False,False,False,False,0.0,0.0,0.0,19563.0,femme,homme,1,1.0,Couples,False,0
6,False,False,22,23.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,False,0
7,True,True,26,23.0,True,False,False,False,False,False,0.0,0.0,10853.0,0.0,femme,homme,1,1.0,Couples,True,2
8,False,True,23,23.0,False,True,False,False,False,False,0.0,0.0,0.0,13149.0,femme,homme,1,1.0,Couples,True,1
9,False,False,23,23.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,3
10,False,False,22,23.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,False,0
11,False,False,23,23.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
12,False,False,23,23.0,False,False,False,True,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,3
13,False,True,23,23.0,False,True,False,False,False,False,0.0,0.0,0.0,641.0,femme,homme,1,1.0,Couples,False,0
14,True,False,25,24.0,True,False,True,False,False,False,0.0,0.0,17680.0,0.0,femme,homme,1,1.0,Couples,False,0
15,False,False,20,24.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,False,0
16,False,False,23,24.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,3
17,True,False,25,24.0,True,False,True,False,False,False,0.0,0.0,17680.0,0.0,femme,homme,1,1.0,Couples,False,0
18,False,True,24,24.0,False,True,False,False,False,False,0.0,0.0,0.0,2460.0,femme,homme,1,1.0,Couples,True,2
19,True,False,25,24.0,True,False,True,False,False,False,0.0,0.0,17680.0,0.0,femme,homme,1,1.0,Couples,True,1
20,True,False,25,24.0,True,False,True,False,False,False,0.0,0.0,17680.0,0.0,femme,homme,1,1.0,Couples,True,2
21,True,False,31,25.0,True,False,False,False,False,False,0.0,0.0,20850.0,0.0,femme,homme,1,1.0,Couples,False,0
22,False,True,20,25.0,False,True,False,False,False,False,0.0,0.0,0.0,25481.0,femme,homme,1,1.0,Couples,True,2
23,True,True,26,25.0,True,True,False,False,False,False,0.0,0.0,10853.0,19043.0,femme,homme,1,1.0,Couples,False,0
